title,details_url,ref_no,price_text,location,date,area,floor,num_photos,total_offers,offer_type,price_per_m2,search_url,scraped_at
"Дава под наем 2-СТАЕН, гр. София, Лозенец",https://bazar.bg/obiava-53278710/dawa-pod-naem-2-staen-gr-sofiia-lozenets,53278710,650€,"гр. София, Лозенец",днес,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-30T06:12:25.233308
"Дава под наем 3-СТАЕН, гр. София, Лозенец",https://bazar.bg/obiava-53195740/dawa-pod-naem-3-staen-gr-sofiia-lozenets,53195740,990€,"гр. София, Лозенец",днес,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-30T06:12:25.233595
"Дава под наем 3-СТАЕН, гр. София, Лозенец",https://bazar.bg/obiava-53277524/dawa-pod-naem-3-staen-gr-sofiia-lozenets,53277524,800€,"гр. София, Лозенец",днес,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-30T06:12:25.233861
"Дава под наем 2-СТАЕН, гр. София, Изток",https://bazar.bg/obiava-53238434/dawa-pod-naem-2-staen-gr-sofiia-iztok,53238434,750€,"гр. София, Изток",вчера,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-30T06:12:25.234121
"Дава под наем 2-СТАЕН, гр. София, Яворов",https://bazar.bg/obiava-53048761/dawa-pod-naem-2-staen-gr-sofiia-iaworow,53048761,500€,"гр. София, Яворов",вчера,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-30T06:12:25.234399
"Дава под наем 3-СТАЕН, гр. София, Лагера",https://bazar.bg/obiava-53272284/dawa-pod-naem-3-staen-gr-sofiia-lagera,53272284,750€,"гр. София, Лагера",вчера,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-30T06:12:25.234710
Двустаен апартамент под наем в кв. Лагера,https://bazar.bg/obiava-52469336/dwustaen-apartament-pod-naem-w-kw-lagera,52469336,"506,18€","гр. София, Лагера",вчера,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-30T06:12:25.234972
"Дава под наем 2-СТАЕН, гр. София, Изток",https://bazar.bg/obiava-53271484/dawa-pod-naem-2-staen-gr-sofiia-iztok,53271484,620€,"гр. София, Изток",вчера,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-30T06:12:25.235233
"Дава под наем 2-СТАЕН, гр. София, Редута",https://bazar.bg/obiava-53270060/dawa-pod-naem-2-staen-gr-sofiia-reduta,53270060,600€,"гр. София, Редута",вчера,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-30T06:12:25.235515
"Дава под наем 2-СТАЕН, гр. София, Докторски паметник",https://bazar.bg/obiava-53179645/dawa-pod-naem-2-staen-gr-sofiia-doktorski-pametnik,53179645,1 100€,"гр. София, Докторски паметник",вчера,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-30T06:12:25.235781
