raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,date,ref_no,time,price_per_m2,area,floor
"продава Двустаен апартамент, 68 м2","СВОБОДА, СТИЛ И ЛУКС!Западен двустаен апартамент с отлично разпределение – перфектен избор както за лично ползване, така и за инвестиция с квадратура 67.25 кв.м / 58.48 кв.м.със...",225000.0,EUR,False,продава,двустаен,София, Лозенец,,АДРЕС Недвижими имоти АД,,https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/dvustaen/6062084/?sid=iKI3oo&page=1,7.0,2025-07-21 18:04:00.513644,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,imoti.net,542,2025-07-21,,,Цена на /м2/:3 309EUR, 68 м2,Етаж: 4 от 21
"продава Тристаен апартамент, 93 м2","Продажби директно от инвеститора, без комисиона за купувача!SoHome Residential Park гр. София е отличен с първа награда в националния конкурс Сграда на годината за 2022г. и за 2024г....",273859.0,EUR,False,продава,тристаен,София, Лозенец,,ХЪС ИНВЕСТ СОФИЯ,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lozenec/tristaen/3358536/?sid=iKI3oo&page=1,9.0,2025-07-21 18:04:00.514140,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,imoti.net,542,2025-07-21,,,Цена на /м2/:2 945EUR, 93 м2,Етаж: 2 от 9
"продава Многостаен апартамент, 160 м2","160 кв.м. простор , лукс и светлина в квартал Стрелбище за апартамент с южно изложение на ул. „Мила Родина“ 26  в ж.к. Стрелбище на първи етаж над магазини.Много важен акцент...",450000.0,EUR,False,продава,многостаен,София, Стрелбище,,АДРЕС Недвижими имоти АД,,https://www.imoti.net/bg/obiava/prodava/sofia/strelbishte/mnogostaen/6067978/?sid=iKI3oo&page=1,9.0,2025-07-21 18:04:00.514558,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,imoti.net,542,2025-07-21,,,Цена на /м2/:2 813EUR, 160 м2,Етаж: 1 от 6
"продава Тристаен апартамент, 131 м2","Продажба от собственик, без комисиона за купувача! Възможност за данъчен кредит!С Акт 16!Представеният апартамент А13, се намира в Сграда 1, ет. 4 в SoHome Residential Park....",478800.0,EUR,False,продава,тристаен,София, Лозенец,,ХЪС ИНВЕСТ СОФИЯ,,https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/tristaen/3381302/?sid=iKI3oo&page=1,17.0,2025-07-21 18:04:00.515012,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,imoti.net,542,2025-07-21,,,Цена на /м2/:3 655EUR, 131 м2,Етаж: 4 от 6
"продава Тристаен апартамент, 165 м2","Продажби директно от инвеститора, без комисиона за купувача!SoHome Residential Park гр. София е отличен с първа награда в националния конкурс Сграда на годината за 2022г и за 2024г....",503815.0,EUR,False,продава,тристаен,София, Лозенец,,ХЪС ИНВЕСТ СОФИЯ,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lozenec/tristaen/3381250/?sid=iKI3oo&page=1,12.0,2025-07-21 18:04:00.515508,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,imoti.net,542,2025-07-21,,,Цена на /м2/:3 053EUR, 165 м2,Етаж: 3 от 9
"продава Тристаен апартамент, 145 м2","Продажби директно от инвеститора, без комисиона за купувача!SoHome Residential Park гр. София е отличен два пъти с първа награда в националния конкурс Сграда на годината за 2022г. и за...",513169.0,EUR,False,продава,тристаен,София, Лозенец,,ХЪС ИНВЕСТ СОФИЯ,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lozenec/tristaen/3381292/?sid=iKI3oo&page=1,12.0,2025-07-21 18:04:00.515960,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,imoti.net,542,2025-07-21,,,Цена на /м2/:3 539EUR, 145 м2,Етаж: 1 от 9
"продава Тристаен апартамент, 98 м2","НЕПОВТОРИМ ИМОТ!СТИЛ И ЕЛЕГАНТНОСТ!ТОП ЛОКАЦИЯ!Красив и много светъл дизайнерски обзаведен апартамент, в една от най-желаните и престижни локации в София. Жилището...",514987.0,EUR,False,продава,тристаен,София, Иван Вазов,,Елеганс Естейт,,https://www.imoti.net/bg/obiava/prodava/sofia/ivan-vazov/tristaen/6100805/?sid=iKI3oo&page=1,11.0,2025-07-21 18:04:00.516369,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,imoti.net,542,2025-07-21,,,Цена на /м2/:5 255EUR, 98 м2,Етаж: 2 от 6
"продава Тристаен апартамент, 201 м2","Представяме тристаен апартамент за продажба, част от нова сграда със смесено предназначение в кв. ""Лозенец"", гр. София.Сградата е с получен Акт 16.Районът е един от...",603240.0,EUR,False,продава,тристаен,София, Лозенец,,Luximmo Finest Estates,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lozenec/tristaen/5750082/?sid=iKI3oo&page=1,24.0,2025-07-21 18:04:00.516828,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,imoti.net,542,2025-07-21,,,Цена на /м2/:3 001EUR, 201 м2,Етаж:  от 9
"продава Двустаен апартамент, 70 м2","ЕРА Палитра ви предлага за продажба уютен ДВУСТАЕН апартамент в комплекс от затворен тип ""Лалов Егрек"", разположен в живописното курортно селище Лозенец.Разположението на комплекса е с...",75000.0,EUR,False,продава,двустаен,София, Лозенец,,ЕРА ПАЛИТРА,,https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/dvustaen/6099762/?sid=iKI3oo&page=1,13.0,2025-07-21 18:04:00.517260,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,imoti.net,542,2025-07-21,,,Цена на /м2/:1 071EUR, 70 м2,Етаж: 2 от 3
"продава Двустаен апартамент, 68 м2","Компания `ЕКС` представя на Вашето внимание двустаен апартамент в кв. Хладилника.МЕСТОПОЛОЖЕНИЕ: В близост до спирка на градски транспорт, училища, магазини от всякакъв тип....",143000.0,EUR,False,продава,двустаен,София, Хладилника,,ЕКС НВД,,https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6003077/?sid=iKI3oo&page=1,1.0,2025-07-21 18:04:00.517707,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,imoti.net,542,2025-07-21,,,Цена на /м2/:2 103EUR, 68 м2,Етаж: 2 от 8
"продава Двустаен апартамент, 68 м2","БЕЗ КОМИСИОННА ОТ КУПУВАЧА!Компания `ЕКС` представя на Вашето внимание двустаен апартамент в кв. Хладилника.МЕСТОПОЛОЖЕНИЕ: В близост до спирка на градски транспорт,...",144000.0,EUR,False,продава,двустаен,София, Хладилника,,ЕКС НВД,,https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6003114/?sid=iKI3oo&page=1,1.0,2025-07-21 18:04:00.518150,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,imoti.net,542,2025-07-21,,,Цена на /м2/:2 118EUR, 68 м2,Етаж: 2 от 18
"продава Двустаен апартамент, 78 м2","ЕРА Голд Ви представя южен двустаен апартамент в нова жилищна сграда в близост до центъра на София и Военномедицинска болница, кв. Лагера.Апартаментът се състои от : входно антре,...",145833.0,EUR,False,продава,двустаен,София, Лагера,,ЕРА Голд,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lagera/dvustaen/6056270/?sid=iKI3oo&page=1,5.0,2025-07-21 18:04:00.518598,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,imoti.net,542,2025-07-21,,,Цена на /м2/:1 870EUR, 78 м2,Етаж: 2 от 8
"продава Двустаен апартамент, 74 м2","БЕЗ КОМИСИОННА ОТ КУПУВАЧА!Компания `ЕКС` представя на Вашето внимание двустаен апартамент в кв. Хладилника.МЕСТОПОЛОЖЕНИЕ: В близост до спирка на градски транспорт,...",155000.0,EUR,False,продава,двустаен,София, Хладилника,,ЕКС НВД,,https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6003120/?sid=iKI3oo&page=1,1.0,2025-07-21 18:04:00.519034,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,imoti.net,542,2025-07-21,,,Цена на /м2/:2 095EUR, 74 м2,Етаж: 2 от 18
"продава Двустаен апартамент, 45 м2","ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба обзаведен апартамент в кв. Стрелбище . Разположен на четвърти жилищен етаж от осем  .Намира се в непосредствена близост до детски градини,...",160000.0,EUR,False,продава,двустаен,София, Стрелбище,,ИРИДА НЕДВИЖИМИ ИМОТИ,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/strelbishte/dvustaen/6097115/?sid=iKI3oo&page=1,1.0,2025-07-21 18:04:00.519527,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,imoti.net,542,2025-07-21,,,Цена на /м2/:3 556EUR, 45 м2,Етаж: 4 от 8
"продава Двустаен апартамент, 51 м2","Продаваме изключително слънчев, двустаен апартамент.Жилището е с югозападно изложение и прекрасна гледка към Витоша.Отоплението и топлата вода са от ТЕЦ.Общите части се...",168000.0,EUR,False,продава,двустаен,София, Белите Брези,,UNIVERSI,,https://www.imoti.net/bg/obiava/prodava/sofia/belite-brezi/dvustaen/6085729/?sid=iKI3oo&page=1,13.0,2025-07-21 18:04:00.519957,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,imoti.net,542,2025-07-21,,,Цена на /м2/:3 294EUR, 51 м2,Етаж: 11 от 13
