title,price_and_currency,location,details_url,property_type,area,agency,agency_url,floor,price_per_m2,description,reference_number,is_top_ad,num_photos,date_added,offer_type,price,currency,city,neighborhood,site,ref_no
"продава Двустаен апартамент, 65 м2",196 511EUR,"София, Хиподрума",https://www.imoti.net/bg/obiava/prodava/sofia/hipodruma/dvustaen/6016806/?sid=gzSTlT&page=1,PropertyType.DVUSTAEN, 65 м2,Имотен център България 2021,,Етаж: 4 от 5,Цена на /м2/:3 023EUR,"Агенция Имотен Център България , има удоволствието да ви представи двустаен апартамент в сграда с акт 16 от 2009г. в Хиподрума на границата с Бели Брези!!В сградата продаваме и...",,True,6,2025-01-08 09:37:10.176328,продава,196511,EUR,София,Хиподрума,Site.IMOTINET,
"продава Тристаен апартамент, 95 м2",288 000EUR,"София, Стрелбище",https://www.imoti.net/bg/obiava/prodava/sofia/strelbishte/tristaen/5858383/?sid=gzSTlT&page=1,PropertyType.TRISTAEN, 95 м2,Galerie Real Estates,,Етаж: 1 от 8,Цена на /м2/:3 032EUR,"Galerie Real Estates, представя светъл и просторен апартамент в непосредствена близост до Южен парк.Жилището е след основен ремонт и е напълно обзаведено и оборудвано с всичко...",,True,5,2025-01-08 09:37:10.176828,продава,288000,EUR,София,Стрелбище,Site.IMOTINET,
"продава Тристаен апартамент, 96 м2",293 318EUR,"София, Хиподрума",https://www.imoti.net/bg/obiava/prodava/sofia/hipodruma/tristaen/6016809/?sid=gzSTlT&page=1,PropertyType.TRISTAEN, 96 м2,Имотен център България 2021,,Етаж: 4 от 5,Цена на /м2/:3 055EUR,"Агенция Имотен Център България , има удоволствието да ви представи двустаен апартамент в сграда с акт 16 от 2009г. в Хиподрума на границата с Бели брези !!Чиста площ -...",,True,6,2025-01-08 09:37:10.177310,продава,293318,EUR,София,Хиподрума,Site.IMOTINET,
"продава Двустаен апартамент, 80 м2",299 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/5983588/?sid=gzSTlT&page=1,PropertyType.DVUSTAEN, 80 м2,АДРЕС Недвижими имоти АД,,Етаж: 2 от 7,Цена на /м2/:3 738EUR,"Двустаен апартамент със застроена площ от 67,41 кв.м. Състои се от входно антре, хол с кухненски бокс, спалня, баня с тоалетна и тераса тераса. Апартаментът се предлага напълно обзаведен и готов за...",,True,15,2025-01-08 09:37:10.177744,продава,299000,EUR,София,Хладилника,Site.IMOTINET,
"продава Четиристаен апартамент, 223 м2",790 000EUR,"София, Стрелбище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/strelbishte/chetiristaen/6012380/?sid=gzSTlT&page=1,PropertyType.CHETIRISTAEN, 223 м2,First Estates,,Етаж: 3 от 7,Цена на /м2/:3 543EUR,"Фърст естейтс има удоволствието да Ви представи напълно ексклузивно този невероятен апартамент на ул. Нишава, само на метри от Южния парк. Жилището се откроява с просторния си хол, който ще направи...",,True,16,2025-01-08 09:37:10.178234,продава,790000,EUR,София,Стрелбище,Site.IMOTINET,
"продава Двустаен апартамент, 46 м2",120 000EUR,"София, Дианабад",https://www.imoti.net/bg/obiava/prodava/sofia/dianabad/dvustaen/5999511/?sid=gzSTlT&page=1,PropertyType.DVUSTAEN, 46 м2,Глобъл Сървисиз,,Етаж: 4,Цена на /м2/:2 609EUR,Глобал Сервисиз продава гарсониера в Дианабад на улица Апостол Карамитев.Апартаментът е обзаведен с ЧП площ 46 кв. м по нотариален акт.Имотът е преустроен и е със следното...,,False,17,2025-01-08 09:37:10.178699,продава,120000,EUR,София,Дианабад,Site.IMOTINET,
"продава Двустаен апартамент, 67 м2",130 000EUR,"София, Дианабад",https://www.imoti.net/bg/obiava/prodava/sofia/dianabad/dvustaen/6014130/?sid=gzSTlT&page=1,PropertyType.DVUSTAEN, 67 м2,Пандора естейт,,Етаж: 7 от 8,Цена на /м2/:1 940EUR,"Агенция за недвижими имоти Пандора естейт продава ексклузивно.Реф. № 110163.Двустаен апартамент в кв. Дианабад, разположен в престижен район с отлични транспортни връзки....",,False,5,2025-01-08 09:37:10.179191,продава,130000,EUR,София,Дианабад,Site.IMOTINET,
"продава Двустаен апартамент, 68 м2",130 000EUR,"София, Стрелбище",https://www.imoti.net/bg/obiava/prodava/sofia/strelbishte/dvustaen/5982962/?sid=gzSTlT&page=1,PropertyType.DVUSTAEN, 68 м2,Глобъл Сървисиз,,Етаж: 6 от 8,Цена на /м2/:1 912EUR,Global Services продава двустаен панелен апартамент в кваратал Стрелбище.Намира се в близост до Фантастико и ул. Нишава.Районът е от най-добрите за живот в София. В близост до центъра...,,False,7,2025-01-08 09:37:10.179661,продава,130000,EUR,София,Стрелбище,Site.IMOTINET,
"продава Двустаен апартамент, 42 м2",133 377EUR,"София, Стрелбище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/strelbishte/dvustaen/5957311/?sid=gzSTlT&page=1,PropertyType.DVUSTAEN, 42 м2,BULGARIAN PROPERTIES,,Етаж: 1 от 8,Цена на /м2/:3 176EUR,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в imoti.net.Референтен номер: Sfa 85507Тел: 0882 817...",,False,17,2025-01-08 09:37:10.180143,продава,133377,EUR,София,Стрелбище,Site.IMOTINET,
"продава Двустаен апартамент, 49 м2",135 000EUR,"София, Дианабад",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/dianabad/dvustaen/6016545/?sid=gzSTlT&page=1,PropertyType.DVUSTAEN, 49 м2,ЕППИ - СДЕЛКИ С ИМОТИ,,Етаж: 16 от 20,Цена на /м2/:2 755EUR,АГЕНЦИЯ 'ЕППИ' ПРОДАВА ЕКСКЛУЗИВНО ДВУСТАЙНО АТЕЛИЕ В ДИАНАБАД.Намира се в сграда тип ЕПК от 80 - те години в близост до супeрмаркет Т - Маркет.Представлява двустаен непреходен...,,False,5,2025-01-08 09:37:10.180617,продава,135000,EUR,София,Дианабад,Site.IMOTINET,
