title,price_and_currency,location,details_url,property_type,area,agency,floor,price_per_m2,description,is_top_ad,num_photos,date_added,search_url,total_offers
"продава Двустаен апартамент, 65 м2",196 511EUR,"София, Хиподрума",https://www.imoti.net/bg/obiava/prodava/sofia/hipodruma/dvustaen/6016806/?sid=iKI3oo&page=1,продава Двустаен апартамент, 65 м2,Имотен център България 2021,Етаж: 4 от 5,Цена на /м2/:3 023EUR,"Агенция Имотен Център България , има удоволствието да ви представи двустаен апартамент в сграда с акт 16 от 2009г. в Хиподрума на границата с Бели Брези!!В сградата продаваме и...",True,6,2025-01-11 16:55:52.521955,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Четиристаен апартамент, 133 м2",266 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/chetiristaen/5973242/?sid=iKI3oo&page=1,продава Четиристаен апартамент, 133 м2,Брокер София,Етаж: 5 от 6,Цена на /м2/:2 000EUR,"Брокер София предлага за продажба нов апартамент до мол Парадайс!Нова сграда с Акт 16 от 2023г.Качествено, луксозно строителство.Възможност за закупуване на паркомясто в...",True,6,2025-01-11 16:55:52.522437,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 96 м2",293 318EUR,"София, Хиподрума",https://www.imoti.net/bg/obiava/prodava/sofia/hipodruma/tristaen/6016809/?sid=iKI3oo&page=1,продава Тристаен апартамент, 96 м2,Имотен център България 2021,Етаж: 4 от 5,Цена на /м2/:3 055EUR,"Агенция Имотен Център България , има удоволствието да ви представи двустаен апартамент в сграда с акт 16 от 2009г. в Хиподрума на границата с Бели брези !!Чиста площ -...",True,6,2025-01-11 16:55:52.522912,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 80 м2",299 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/5983588/?sid=iKI3oo&page=1,продава Двустаен апартамент, 80 м2,АДРЕС Недвижими имоти АД,Етаж: 2 от 7,Цена на /м2/:3 738EUR,"Двустаен апартамент със застроена площ от 67,41 кв.м. Състои се от входно антре, хол с кухненски бокс, спалня, баня с тоалетна и тераса тераса. Апартаментът се предлага напълно обзаведен и готов за...",True,15,2025-01-11 16:55:52.523336,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 188 м2",566 790EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lozenec/tristaen/5889027/?sid=iKI3oo&page=1,продава Тристаен апартамент, 188 м2,Luximmo Finest Estates,Етаж:  от 9,Цена на /м2/:3 015EUR,"Представяме тристаен апартамент за продажба, част от нова сграда със смесено предназначение в кв. ""Лозенец"", гр. София.Сградата е с получен Акт 16.Районът е един от...",True,11,2025-01-11 16:55:52.523802,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 201 м2",603 240EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lozenec/tristaen/5750082/?sid=iKI3oo&page=1,продава Тристаен апартамент, 201 м2,Luximmo Finest Estates,Етаж:  от 9,Цена на /м2/:3 001EUR,"Представяме тристаен апартамент за продажба, част от нова сграда със смесено предназначение в кв. ""Лозенец"", гр. София.Сградата е с получен Акт 16.Районът е един от...",True,24,2025-01-11 16:55:52.524271,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Четиристаен апартамент, 223 м2",790 000EUR,"София, Стрелбище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/strelbishte/chetiristaen/6012380/?sid=iKI3oo&page=1,продава Четиристаен апартамент, 223 м2,First Estates,Етаж: 3 от 7,Цена на /м2/:3 543EUR,"Фърст естейтс има удоволствието да Ви представи напълно ексклузивно този невероятен апартамент на ул. Нишава, само на метри от Южния парк. Жилището се откроява с просторния си хол, който ще направи...",True,16,2025-01-11 16:55:52.524729,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 30 м2",115 000EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/dvustaen/5908012/?sid=iKI3oo&page=1,продава Двустаен апартамент, 30 м2,ХОУМЛАЙТ,Етаж: 3 от 3,Цена на /м2/:3 833EUR,"ХОУМЛАЙТ Ви предлага прекрасен двустаен апартамент срещу хотел Хемус.Имотът е със статут на ЖИЛИЩЕ - АПАРТАМЕНТ! Намира се на 1 минута от метростанция ""Европейски съюз"".Изцяло...",False,9,2025-01-11 16:55:52.525197,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 68 м2",130 000EUR,"София, Стрелбище",https://www.imoti.net/bg/obiava/prodava/sofia/strelbishte/dvustaen/5982962/?sid=iKI3oo&page=1,продава Двустаен апартамент, 68 м2,Глобъл Сървисиз,Етаж: 6 от 8,Цена на /м2/:1 912EUR,Global Services продава двустаен панелен апартамент в кваратал Стрелбище.Намира се в близост до Фантастико и ул. Нишава.Районът е от най-добрите за живот в София. В близост до центъра...,False,7,2025-01-11 16:55:52.525647,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 87 м2",132 000EUR,"София, Белите Брези",https://www.imoti.net/bg/obiava/prodava/sofia/belite-brezi/tristaen/5983760/?sid=iKI3oo&page=1,продава Тристаен апартамент, 87 м2,Пандора естейт,Етаж: 9 от 12,Цена на /м2/:1 517EUR,"Агенция за недвижими имоти ""Пандора Естейт"" продава ексклузивно тристаен апартамент в кв. Бели Брези на цена от 132,000 евро.Имотът е с площ от 87 кв.м, разположен на 9-ти етаж от...",False,6,2025-01-11 16:55:52.526093,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 42 м2",133 377EUR,"София, Стрелбище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/strelbishte/dvustaen/5957311/?sid=iKI3oo&page=1,продава Двустаен апартамент, 42 м2,BULGARIAN PROPERTIES,Етаж: 1 от 8,Цена на /м2/:3 176EUR,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в imoti.net.Референтен номер: Sfa 85507Тел: 0882 817...",False,17,2025-01-11 16:55:52.526600,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 68 м2",143 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6003077/?sid=iKI3oo&page=1,продава Двустаен апартамент, 68 м2,ЕКС НВД,Етаж: 2 от 8,Цена на /м2/:2 103EUR,"Компания `ЕКС` представя на Вашето внимание двустаен апартамент в кв. Хладилника.МЕСТОПОЛОЖЕНИЕ: В близост до спирка на градски транспорт, училища, магазини от всякакъв тип....",False,1,2025-01-11 16:55:52.527048,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 68 м2",143 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004974/?sid=iKI3oo&page=1,продава Двустаен апартамент, 68 м2,АДРЕС Недвижими имоти АД,Етаж: 2 от 18,Цена на /м2/:2 103EUR,"Двустаен апартамент с площ от 68 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за...",False,4,2025-01-11 16:55:52.527494,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 68 м2",144 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6001714/?sid=iKI3oo&page=1,продава Двустаен апартамент, 68 м2,АДРЕС Недвижими имоти АД,Етаж: 2 от 18,Цена на /м2/:2 118EUR,"Двустаен апартамент с площ от 68 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за хора,...",False,4,2025-01-11 16:55:52.527939,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 68 м2",144 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6003114/?sid=iKI3oo&page=1,продава Двустаен апартамент, 68 м2,ЕКС НВД,Етаж: 2 от 18,Цена на /м2/:2 118EUR,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!Компания `ЕКС` представя на Вашето внимание двустаен апартамент в кв. Хладилника.МЕСТОПОЛОЖЕНИЕ: В близост до спирка на градски транспорт,...",False,1,2025-01-11 16:55:52.528395,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 68 м2",146 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004966/?sid=iKI3oo&page=1,продава Двустаен апартамент, 68 м2,АДРЕС Недвижими имоти АД,Етаж: 3 от 8,Цена на /м2/:2 147EUR,"Двустаен апартамент с площ от 68 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса .Този двустаен апартамент е чудесен избор за хора, които...",False,4,2025-01-11 16:55:52.528845,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 68 м2",147 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6001711/?sid=iKI3oo&page=1,продава Двустаен апартамент, 68 м2,АДРЕС Недвижими имоти АД,Етаж: 3 от 31,Цена на /м2/:2 162EUR,"Двустаен апартамент с площ от 68 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса .Този двустаен апартамент е чудесен избор за хора, които...",False,4,2025-01-11 16:55:52.529308,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 65 м2",149 000EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lozenec/dvustaen/5856865/?sid=iKI3oo&page=1,продава Двустаен апартамент, 65 м2,ИРИДА НЕДВИЖИМИ ИМОТИ,Етаж: 2 от 11,Цена на /м2/:2 292EUR,"БЕЗ КОМИСИОН!АКТ 16 декември 2023г!ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба двустаен апартамент в нова 44-метрова модерна жилищна сграда, която включва магазини,...",False,2,2025-01-11 16:55:52.529814,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 64 м2",149 000EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lozenec/dvustaen/5856955/?sid=iKI3oo&page=1,продава Двустаен апартамент, 64 м2,ИРИДА НЕДВИЖИМИ ИМОТИ,Етаж: 2 от 11,Цена на /м2/:2 328EUR,"БЕЗ КОМИСИОН ОТ КУПУВАЧА!!!АКТ 16 декември 2023г!ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба двустаен апартамент в нова 44-метрова модерна жилищна сграда, която...",False,2,2025-01-11 16:55:52.530319,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 70 м2",150 000EUR,"София, Хиподрума",https://www.imoti.net/bg/obiava/prodava/sofia/hipodruma/dvustaen/5983534/?sid=iKI3oo&page=1,продава Двустаен апартамент, 70 м2,ERA Младост,Етаж:,Цена на /м2/:2 143EUR,"ЕРА Младост предлага функционален двустаен апартамент в един от най-привлекателните южни райони в столицата, ж.к. Хиподрума.Имотът е за основен ремонт, но е с много добри характеристики....",False,7,2025-01-11 16:55:52.530760,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 45 м2",154 000EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/dvustaen/5881078/?sid=iKI3oo&page=1,продава Двустаен апартамент, 45 м2,Явлена Изток,Етаж: 1,Цена на /м2/:3 422EUR,"Явлена Изток има удоволствието да Ви представи уютно жилище на топ локация! Намира се в кв. Лозенец на метри от Южен парк, басейн Спартак и бул. Витоша! Отличната локация предлага всички необходими...",False,10,2025-01-11 16:55:52.531197,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 74 м2",155 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6001712/?sid=iKI3oo&page=1,продава Двустаен апартамент, 74 м2,АДРЕС Недвижими имоти АД,Етаж: 2 от 26,Цена на /м2/:2 095EUR,"Двустаен апартамент с площ от 74 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за...",False,4,2025-01-11 16:55:52.531640,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 74 м2",155 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6003120/?sid=iKI3oo&page=1,продава Двустаен апартамент, 74 м2,ЕКС НВД,Етаж: 2 от 18,Цена на /м2/:2 095EUR,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!Компания `ЕКС` представя на Вашето внимание двустаен апартамент в кв. Хладилника.МЕСТОПОЛОЖЕНИЕ: В близост до спирка на градски транспорт,...",False,1,2025-01-11 16:55:52.532094,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 74 м2",156 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6001713/?sid=iKI3oo&page=1,продава Двустаен апартамент, 74 м2,АДРЕС Недвижими имоти АД,Етаж: 2 от 25,Цена на /м2/:2 108EUR,"Двустаен апартамент с площ от 74 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса .Този двустаен апартамент е чудесен избор за хора, които...",False,4,2025-01-11 16:55:52.532544,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 74 м2",159 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6001709/?sid=iKI3oo&page=1,продава Двустаен апартамент, 74 м2,АДРЕС Недвижими имоти АД,Етаж: 3 от 35,Цена на /м2/:2 149EUR,"Двустаен апартамент с площ от 74 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за...",False,4,2025-01-11 16:55:52.533007,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 74 м2",159 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6001710/?sid=iKI3oo&page=1,продава Двустаен апартамент, 74 м2,АДРЕС Недвижими имоти АД,Етаж: 3 от 34,Цена на /м2/:2 149EUR,"Двустаен апартамент с площ от 74 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за...",False,4,2025-01-11 16:55:52.533459,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 76 м2",159 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004972/?sid=iKI3oo&page=1,продава Двустаен апартамент, 76 м2,АДРЕС Недвижими имоти АД,Етаж: 2 от 18,Цена на /м2/:2 092EUR,"Двустаен апартамент с площ от 76 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса .Този двустаен апартамент е чудесен избор за хора, които...",False,4,2025-01-11 16:55:52.533964,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 76 м2",159 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004973/?sid=iKI3oo&page=1,продава Двустаен апартамент, 76 м2,АДРЕС Недвижими имоти АД,Етаж: 2 от 18,Цена на /м2/:2 092EUR,"Двустаен апартамент с площ от 76 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса .Този двустаен апартамент е чудесен избор за хора, които...",False,4,2025-01-11 16:55:52.534421,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 61 м2",161 000EUR,"София, Стрелбище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/strelbishte/dvustaen/5949972/?sid=iKI3oo&page=1,продава Двустаен апартамент, 61 м2,Глобъл Сървисиз,Етаж: 2 от 8,Цена на /м2/:2 639EUR,"СУПЕР ЛОКАЦИЯ!Global Services има удоволствието да ви предстаи:Двустаен апартамент с готов дизайнерски проект за тристаен.Състои се от спалня,хол и кухня....",False,16,2025-01-11 16:55:52.534872,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 76 м2",163 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004969/?sid=iKI3oo&page=1,продава Двустаен апартамент, 76 м2,АДРЕС Недвижими имоти АД,Етаж: 2 от 8,Цена на /м2/:2 145EUR,"Двустаен апартамент с площ от 76 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса .Този двустаен апартамент е чудесен избор за хора, които...",False,3,2025-01-11 16:55:52.535313,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 74 м2",163 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004978/?sid=iKI3oo&page=2,продава Двустаен апартамент, 74 м2,АДРЕС Недвижими имоти АД,Етаж: 4 от 18,Цена на /м2/:2 203EUR,"Двустаен апартамент с площ от 74 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за...",False,4,2025-01-11 16:55:56.199964,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 74 м2",163 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004982/?sid=iKI3oo&page=2,продава Двустаен апартамент, 74 м2,АДРЕС Недвижими имоти АД,Етаж: 4 от 18,Цена на /м2/:2 203EUR,"Двустаен апартамент с площ от 74 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за...",False,4,2025-01-11 16:55:56.200438,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 76 м2",167 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004967/?sid=iKI3oo&page=2,продава Двустаен апартамент, 76 м2,АДРЕС Недвижими имоти АД,Етаж: 4 от 8,Цена на /м2/:2 197EUR,"Двустаен апартамент с площ от 76 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса .Този двустаен апартамент е чудесен избор за хора, които...",False,4,2025-01-11 16:55:56.200994,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 76 м2",167 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004968/?sid=iKI3oo&page=2,продава Двустаен апартамент, 76 м2,АДРЕС Недвижими имоти АД,Етаж: 4 от 8,Цена на /м2/:2 197EUR,"Двустаен апартамент с площ от 76 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса .Този двустаен апартамент е чудесен избор за хора, които...",False,4,2025-01-11 16:55:56.201453,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 74 м2",167 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004976/?sid=iKI3oo&page=2,продава Двустаен апартамент, 74 м2,АДРЕС Недвижими имоти АД,Етаж: 5 от 18,Цена на /м2/:2 257EUR,"Двустаен апартамент с площ от 74 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за...",False,3,2025-01-11 16:55:56.201901,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 74 м2",167 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004981/?sid=iKI3oo&page=2,продава Двустаен апартамент, 74 м2,АДРЕС Недвижими имоти АД,Етаж: 5 от 18,Цена на /м2/:2 257EUR,"Двустаен апартамент с площ от 74 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за...",False,4,2025-01-11 16:55:56.202343,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 76 м2",169 900EUR,"София, Стрелбище",https://www.imoti.net/bg/obiava/prodava/sofia/strelbishte/tristaen/5983584/?sid=iKI3oo&page=2,продава Тристаен апартамент, 76 м2,АДРЕС Недвижими имоти АД,Етаж: 6 от 8,Цена на /м2/:2 236EUR,"Предлагаме Ви тристаен апартамент в ж.к. Стрелбище. Състои се от входно антре, всекидневна с балкон и преходни две спални от всекидневната, отделна кухня с балкон, баня и отделна...",False,19,2025-01-11 16:55:56.202779,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 64 м2",170 000EUR,"София, Лагера",https://www.imoti.net/bg/obiava/prodava/sofia/lagera/dvustaen/6009144/?sid=iKI3oo&page=2,продава Двустаен апартамент, 64 м2,Калиста Естейт,Етаж: 5 от 9,Цена на /м2/:2 656EUR,Агенция за недвижими имоти Калиста Естейт има огромното удоволствие да Ви представи двустаен апартамент в ж.к. Лагера.Обзавеждане: напълно обзаведенЕтап на строителство: с...,False,9,2025-01-11 16:55:56.203222,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 74 м2",170 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004979/?sid=iKI3oo&page=2,продава Двустаен апартамент, 74 м2,АДРЕС Недвижими имоти АД,Етаж: 6 от 18,Цена на /м2/:2 297EUR,"Двустаен апартамент с площ от 74 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за...",False,4,2025-01-11 16:55:56.203661,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 69 м2",170 466EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lozenec/dvustaen/5958597/?sid=iKI3oo&page=2,продава Двустаен апартамент, 69 м2,First Estates,Етаж: 0,Цена на /м2/:2 471EUR,"„Ела в твоя дом“ – това е посланието, което комплекс SoHome отправя към своите клиенти. Концепцията на комплекса е да създаде жилищна среда, която ще Ви даде нещо повече от дом – ще Ви даде...",False,28,2025-01-11 16:55:56.204150,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 109 м2",171 328EUR,"София, Лагера",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lagera/tristaen/5899222/?sid=iKI3oo&page=2,продава Тристаен апартамент, 109 м2,Глобъл Сървисиз,Етаж: 3 от 16,Цена на /м2/:1 572EUR,"Луксозно ново строителство с безкрайна гледка към планината, метростанция на крачка от комплекса, само на 4,8 км. от центъра на града. Завършен етап ""груб строеж“ – края на 2024 г., разрешение за...",False,3,2025-01-11 16:55:56.204586,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 78 м2",173 360EUR,"София, Лагера",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lagera/dvustaen/5962250/?sid=iKI3oo&page=2,продава Двустаен апартамент, 78 м2,ЕРА Голд,Етаж:,Цена на /м2/:2 223EUR,"ЕРА Голд Ви представи двустаен апартамент в нова жилищна сграда в близост до центъра на София и Военномедицинска болница, кв. Лагера.Разпределение: Входно антре, дневна с кухненски...",False,5,2025-01-11 16:55:56.205047,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 60 м2",180 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/5954138/?sid=iKI3oo&page=2,продава Двустаен апартамент, 60 м2,ЮНИК ЕСТЕЙТС,Етаж: 2 от 6,Цена на /м2/:3 000EUR,"Unique Estates представя на Вашето внимание двустайно жилище в район Лозенец. Намира се на първи надпартерен етаж, в непосредствена близос до Южен парк и мол. Имота е...",False,2,2025-01-11 16:55:56.205542,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 65 м2",184 000EUR,"София, Лагера",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lagera/dvustaen/5866913/?sid=iKI3oo&page=2,продава Двустаен апартамент, 65 м2,Имоти Премиер,Етаж: 7 от 7,Цена на /м2/:2 831EUR,"Имоти ПРЕМИЕР има удоволствието да Ви представи двустаен обзаведен апартамент в кв. Лагера.Жилището е с площ 65 кв.м и има следното разпределение:входно антре, всекидневна с...",False,7,2025-01-11 16:55:56.206100,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Двустаен апартамент, 78 м2",187 000EUR,"София, Стрелбище",https://www.imoti.net/bg/obiava/prodava/sofia/strelbishte/dvustaen/5982548/?sid=iKI3oo&page=2,продава Двустаен апартамент, 78 м2,Пандора естейт,Етаж: 7 от 13,Цена на /м2/:2 397EUR,"Агенция Пандора Естейт предлага ЕКСКЛУЗИВНО за продажба двустаен обзаведен апартамент в кв. Стрелбище.Имотът разполага с отопление на ток, с възможност за поставяне на радиатори за...",False,4,2025-01-11 16:55:56.206551,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
