raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,date,ref_no,time,price_per_m2,area,floor
"Тристаен, 120m²","Тухла, ТЕЦ",288300.0,EUR,False, продажба,тристаен,София,жк. Сухата Река,,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-120m2-sofiya-zhk.-suhata-reka/as1616654,1.0,2025-07-21 06:03:38.573639,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=517,homes.bg,77,2025-07-21,1616654,вчера,,,
"Четиристаен, 148m²","Тухла, ТЕЦ",249900.0,EUR,False, продажба,четиристаен,София,жк. Сухата Река,,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-148m2-sofiya-zhk.-suhata-reka/as1569085,1.0,2025-07-21 06:03:38.573716,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=517,homes.bg,77,2025-07-21,1569085,вчера,,,
"Тристаен, 85m²",Панел,168000.0,EUR,False, продажба,тристаен,София,жк. Сухата Река,,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-85m2-sofiya-zhk.-suhata-reka/as1639379,10.0,2025-07-21 06:03:38.573748,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=517,homes.bg,77,2025-07-21,1639379,,,,
"Четиристаен, 135m²","Тухла, Обзаведен, Електричество",230000.0,EUR,False, продажба,четиристаен,София,жк. Сухата Река,,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-135m2-sofiya-zhk.-suhata-reka/as1573290,10.0,2025-07-21 06:03:38.573772,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=517,homes.bg,77,2025-07-21,1573290,,,,
"Двустаен, 64m²","Панел, Обзаведен, ТЕЦ",128000.0,EUR,False, продажба,двустаен,София,жк. Сухата Река,,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-64m2-sofiya-zhk.-suhata-reka/as1408066,10.0,2025-07-21 06:03:38.573796,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=517,homes.bg,77,2025-07-21,1408066,,,,
"Двустаен, 62m²","Тухла, Обзаведен, Локално отопление",180000.0,EUR,False, продажба,двустаен,София,жк. Сухата Река,,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-62m2-sofiya-zhk.-suhata-reka/as1638164,0.0,2025-07-21 06:03:38.573814,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=517,homes.bg,77,2025-07-21,1638164,,,,
"Тристаен, 91m²","Тухла, Необзаведен, Локално отопление",190000.0,EUR,False, продажба,тристаен,София,жк. Сухата Река,,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-91m2-sofiya-zhk.-suhata-reka/as1614935,10.0,2025-07-21 06:03:38.573837,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=517,homes.bg,77,2025-07-21,1614935,,,,
"Едностаен, 36m²","ЕПК, Полуобзаведен, ТЕЦ",97000.0,EUR,False, продажба,едностаен,София,жк. Сухата Река,,,,https://homes.bg/offer/apartament-za-prodazhba/ednostaen-36m2-sofiya-zhk.-suhata-reka/as1637589,10.0,2025-07-21 06:03:38.573859,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=517,homes.bg,77,2025-07-21,1637589,,,,
"Тристаен, 110m²","Тухла, ТЕЦ",213400.0,EUR,False, продажба,тристаен,София,жк. Сухата Река,,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-110m2-sofiya-zhk.-suhata-reka/as1558903,3.0,2025-07-21 06:03:38.573876,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=517,homes.bg,77,2025-07-21,1558903,,,,
"Четиристаен, 148m²",Обзаведен,251702.0,EUR,False, продажба,четиристаен,София,жк. Сухата Река,,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-148m2-sofiya-zhk.-suhata-reka/as1610506,5.0,2025-07-21 06:03:38.573894,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=517,homes.bg,77,2025-07-21,1610506,,,,
