price_text,title,location,details_text,description,details_url,ref_no,offer_type,agency_name,num_photos,total_offers,price_per_m2,search_url,scraped_at
502 020 €,Многостаен апартамент,"гр. София / кв. Бояна / Софийска област, България",Площ:251.01 м²Спални:4Етаж:3Етажност на сградата:6,,https://www.suprimmo.bg/imot-109946-mnogostaen-apartament-za-prodajba-v-rezidentsiya-berlin-park-boyana/,SOF 109946,продава,Suprimmo,3,1445,2000.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-26T10:09:07.850038
1 950 000 €,Четиристаен апартамент,"с. Панчарево / Софийска област, България",Площ:443 м²Спални:3Етаж:партерЕтажност на сградата:4,,https://www.suprimmo.bg/imot-130883-dizaynerski-apartament-s-tri-spalni-na-ezero-pancharevo/,STO-130883,продава,Suprimmo,3,1445,4401.81,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-26T10:09:07.851184
185 000 €,Двустаен апартамент,"гр. София / кв. Сухата река / Софийска област, България",Площ:74 м²Спални:2Етаж:4Етажност на сградата:6,,https://www.suprimmo.bg/imot-132154-yujen-dvustaen-apartament-s-otdelna-kuhnya-v-spokoen-i-zelen-rayon/,STO-132154,продава,Suprimmo,3,1445,2500.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-26T10:09:07.852255
480 000 €,Тристаен апартамент,"гр. София / кв. Лозенец / Софийска област, България",Площ:110.88 м²Спални:2Етаж:2Етажност на сградата:6,,https://www.suprimmo.bg/imot-132801-poluobzaveden-tristaen-apartament-na-metri-ot-yujen-park/,SOF-132801,продава,Suprimmo,3,1445,4329.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-26T10:09:07.853275
367 260 €,Тристаен апартамент,"гр. София / кв. Горна баня / Софийска област, България",Площ:122.42 м²Спални:2Етаж:2Етажност на сградата:4,,https://www.suprimmo.bg/imot-129729-nov-zapaden-tristaen-apartament-v-gloria-palace-residence/,SOF-129729,продава,Suprimmo,3,1445,3000.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-26T10:09:07.854215
1 200 000 €,Тристаен апартамент,"с. Панчарево / Софийска област, България",Площ:300 м²Спални:2Етаж:2Етажност на сградата:4,,https://www.suprimmo.bg/imot-128088-tristaen-apartament-s-frontalna-gledka-kam-pancharevskoto-ezero/,STO-128088,продава,Suprimmo,3,1445,4000.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-26T10:09:07.855231
253 000 €,Двустаен апартамент,"гр. София / кв. Драгалевци / Софийска област, България",Площ:100.76 м²Спални:1Етаж:2Етажност на сградата:4,,https://www.suprimmo.bg/imot-126389-dvustaen-apartament-v-nova-sgrada-sas-spa-i-fitnes/,SOF-126389,продава,Suprimmo,3,1445,2510.92,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-26T10:09:07.856230
247 468 €,Тристаен апартамент(В процес на строителство),"с. Панчарево / Софийска област, България",Площ:95.18 м²Спални:2Етаж:3Етажност на сградата:4,,https://www.suprimmo.bg/imot-133172-tristaen-apartament-v-luksozna-sgrada-do-borova-gora-v-pancharevo/,STO-133172,продава,Suprimmo,3,1445,2600.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-26T10:09:07.857248
160 240 €,Двустаен апартамент(В процес на строителство),"гр. София / кв. Горна баня / Софийска област, България",Площ:74.53 м²Спални:1Етаж:2Етажност на сградата:4,,https://www.suprimmo.bg/imot-132787-dvustaen-apartament-novo-stroitelstvo-blizo-do-gloria-palace/,SOF-132787,продава,Suprimmo,3,1445,2150.01,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-26T10:09:07.858216
702 702 €,Тристаен апартамент,"гр. София / кв. Манастирски ливади - Запад / Софийска област, България",Площ:234.23 м²Спални:2Етаж:7Етажност на сградата:9,,https://www.suprimmo.bg/imot-100962-prostoren-tristaen-apartament-za-prodajba-v-luksozna-sgrada/,AP 100962,продава,Suprimmo,3,1445,3000.05,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-26T10:09:07.859320
