title,description,city,neighborhood,price_value,price_currency,price_per_m2,details_url,num_photos,time,offer_type,ref_no,search_url,scraped_at
"Многостаен, 168m²","Тухла, Електричество",София,жк. Хиподрума,"454,000",EUR,,/offer/apartament-za-prodazhba/mnogostaen-168m2-sofiya-zhk.-hipodruma/as1657419,10,вчера,наем,1657419,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628592
"Двустаен, 60m²","Тухла, ТЕЦ",София,жк. Хиподрума,"239,000",EUR,,/offer/apartament-za-prodazhba/dvustaen-60m2-sofiya-zhk.-hipodruma/as1638968,5,,наем,1638968,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628602
"Многостаен, 168m²","Тухла, Обзаведен, ТЕЦ",София,жк. Хиподрума,"429,000",EUR,,/offer/apartament-za-prodazhba/mnogostaen-168m2-sofiya-zhk.-hipodruma/as1658736,10,,наем,1658736,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628606
"Двустаен, 60m²","Тухла, Полуобзаведен, ТЕЦ",София,жк. Хиподрума,"239,000",EUR,,/offer/apartament-za-prodazhba/dvustaen-60m2-sofiya-zhk.-hipodruma/as1620769,5,,наем,1620769,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628609
"Тристаен, 160m²","Тухла, Обзаведен, ТЕЦ",София,жк. Хиподрума,"320,000",EUR,,/offer/apartament-za-prodazhba/tristaen-160m2-sofiya-zhk.-hipodruma/as1484933,10,,наем,1484933,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628611
"Четиристаен, 165m²","Тухла, Обзаведен, ТЕЦ",София,жк. Хиподрума,"420,000",EUR,,/offer/apartament-za-prodazhba/chetiristaen-165m2-sofiya-zhk.-hipodruma/as1650683,10,,наем,1650683,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628614
"Двустаен, 42m²","Тухла, Обзаведен",София,жк. Хиподрума,"250,000",EUR,,/offer/apartament-za-prodazhba/dvustaen-42m2-sofiya-zhk.-hipodruma/as1644890,10,,наем,1644890,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628617
"Тристаен, 111m²",Тухла,София,жк. Хиподрума,"380,000",EUR,,/offer/apartament-za-prodazhba/tristaen-111m2-sofiya-zhk.-hipodruma/as1634778,1,,наем,1634778,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628619
"Тристаен, 78m²","ЕПК, Необзаведен, ТЕЦ",София,жк. Хиподрума,"195,000",EUR,,/offer/apartament-za-prodazhba/tristaen-78m2-sofiya-zhk.-hipodruma/as1602571,4,,наем,1602571,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628622
"Тристаен, 112m²","Тухла, Обзаведен, ТЕЦ",София,жк. Хиподрума,"330,000",EUR,,/offer/apartament-za-prodazhba/tristaen-112m2-sofiya-zhk.-hipodruma/as1608084,10,,наем,1608084,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628624
"Четиристаен, 140m²","Тухла, Обзаведен",София,жк. Хиподрума,"470,000",EUR,,/offer/apartament-za-prodazhba/chetiristaen-140m2-sofiya-zhk.-hipodruma/as1645315,10,,наем,1645315,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628627
"Двустаен, 71m²","Тухла, Обзаведен",София,жк. Хиподрума,"220,000",EUR,,/offer/apartament-za-prodazhba/dvustaen-71m2-sofiya-zhk.-hipodruma/as1606565,10,,наем,1606565,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628629
"Многостаен, 425m²","Тухла, Обзаведен, ТЕЦ",София,жк. Хиподрума,"650,000",EUR,,/offer/apartament-za-prodazhba/mnogostaen-425m2-sofiya-zhk.-hipodruma/as1545154,1,,наем,1545154,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628632
"Двустаен, 70m²","Тухла, Обзаведен, ТЕЦ",София,жк. Хиподрума,"320,000",EUR,,/offer/apartament-za-prodazhba/dvustaen-70m2-sofiya-zhk.-hipodruma/as1565131,10,,наем,1565131,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628635
"Четиристаен, 131m²","Тухла, Необзаведен",София,жк. Хиподрума,"241,667",EUR,,/offer/apartament-za-prodazhba/chetiristaen-131m2-sofiya-zhk.-hipodruma/as1548236,1,,наем,1548236,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628645
"Четиристаен, 168m²","Тухла, Обзаведен, ТЕЦ",София,жк. Хиподрума,"454,000",EUR,,/offer/apartament-za-prodazhba/chetiristaen-168m2-sofiya-zhk.-hipodruma/as1655690,10,,наем,1655690,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628650
"Тристаен, 65m²",Тухла,София,жк. Хиподрума,"249,900",EUR,,/offer/apartament-za-prodazhba/tristaen-65m2-sofiya-zhk.-hipodruma/as1662900,10,,наем,1662900,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628655
"Четиристаен, 168m²","Тухла, Обзаведен, ТЕЦ",София,жк. Хиподрума,"454,000",EUR,,/offer/apartament-za-prodazhba/chetiristaen-168m2-sofiya-zhk.-hipodruma/as1655773,10,,наем,1655773,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,2026-01-22T06:03:22.628660
