id,type,url,time,location,title,description,status,photos,price_value,price_currency,price_per_square_meter,price_period,main_photo,is_favorite,offer_type,property_type,date_added,search_url,total_offers,location_id,num_photos,neighborhoods,main_property_type
1661353,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-78m2-sofiya-zhk.-dianabad/as1661353,днес,"жк. Дианабад, София","Тристаен, 78m²","Панел, Полуобзаведен, Електричество",1,"['https://homes.bg/2025-12-01_2/116570935', 'https://homes.bg/2025-12-01_2/116570936', 'https://homes.bg/2025-12-01_2/116570937', 'https://homes.bg/2025-12-01_2/116570938', 'https://homes.bg/2025-12-01_2/116570939', 'https://homes.bg/2025-12-01_2/116570940', 'https://homes.bg/2025-12-01_2/116570941', 'https://homes.bg/2025-12-01_2/116570942']",209000.0,EUR,"2,679 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-12-01 18:03:55.413097,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=403,92,София,8.0,['Дианабад'],апартамент
1602235,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-127m2-sofiya-zhk.-dianabad/as1602235,днес,"жк. Дианабад, София","Тристаен, 127m²",,1,"['https://homes.bg/2025-11-11_2/116398578', 'https://homes.bg/2025-11-11_2/116398579', 'https://homes.bg/2025-11-11_2/116398580', 'https://homes.bg/2025-11-11_2/116398581', 'https://homes.bg/2025-11-11_2/116398582', 'https://homes.bg/2025-11-11_2/116398583', 'https://homes.bg/2025-11-11_2/116398584', 'https://homes.bg/2025-11-11_2/116398585', 'https://homes.bg/2025-11-11_2/116398586', 'https://homes.bg/2025-11-11_2/116398587']",505370.0,EUR,"3,979 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-12-01 18:03:55.413169,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=403,92,София,10.0,['Дианабад'],апартамент
1540016,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-83m2-sofiya-zhk.-dianabad/as1540016,днес,"жк. Дианабад, София","Двустаен, 83m²",Електричество,1,"['https://homes.bg/2025-11-11_2/116398914', 'https://homes.bg/2025-11-11_2/116398915', 'https://homes.bg/2025-11-11_2/116398916', 'https://homes.bg/2025-11-11_2/116398917', 'https://homes.bg/2025-11-11_2/116398918', 'https://homes.bg/2025-11-11_2/116398919']",347687.0,EUR,"4,189 EUR/m²",,,False, продажба,PropertyType.DVUSTAEN,2025-12-01 18:03:55.413208,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=403,92,София,6.0,['Дианабад'],апартамент
1632145,as,https://homes.bg/offer/apartament-za-prodazhba/mnogostaen-137m2-sofiya-zhk.-dianabad/as1632145,днес,"жк. Дианабад, София","Многостаен, 137m²","Тухла, ТЕЦ",1,"['https://homes.bg/2025-07-31_2/115130672', 'https://homes.bg/2025-07-31_2/115130673', 'https://homes.bg/2025-07-31_2/115130674', 'https://homes.bg/2025-07-31_2/115130675']",450565.0,EUR,"3,288 EUR/m²",,,False, продажба,PropertyType.MNOGOSTAEN,2025-12-01 18:03:55.413238,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=403,92,София,4.0,['Дианабад'],апартамент
1540013,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-158m2-sofiya-zhk.-dianabad/as1540013,днес,"жк. Дианабад, София","Тристаен, 158m²","Тухла, Електричество",1,"['https://homes.bg/2025-11-11_2/116398889', 'https://homes.bg/2025-11-11_2/116398890', 'https://homes.bg/2025-11-11_2/116398891', 'https://homes.bg/2025-11-11_2/116398892', 'https://homes.bg/2025-11-11_2/116398893', 'https://homes.bg/2025-11-11_2/116398894']",762067.0,EUR,"4,823 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-12-01 18:03:55.413268,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=403,92,София,6.0,['Дианабад'],апартамент
1540015,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-130m2-sofiya-zhk.-dianabad/as1540015,днес,"жк. Дианабад, София","Тристаен, 130m²","Тухла, Електричество",1,"['https://homes.bg/2025-11-11_2/116398904', 'https://homes.bg/2025-11-11_2/116398905', 'https://homes.bg/2025-11-11_2/116398906', 'https://homes.bg/2025-11-11_2/116398907', 'https://homes.bg/2025-11-11_2/116398908', 'https://homes.bg/2025-11-11_2/116398909', 'https://homes.bg/2025-11-11_2/116398910', 'https://homes.bg/2025-11-11_2/116398911', 'https://homes.bg/2025-11-11_2/116398912', 'https://homes.bg/2025-11-11_2/116398913']",647759.0,EUR,"4,982 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-12-01 18:03:55.413301,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=403,92,София,10.0,['Дианабад'],апартамент
1632139,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-60m2-sofiya-zhk.-dianabad/as1632139,днес,"жк. Дианабад, София","Двустаен, 60m²","Тухла, ТЕЦ",1,"['https://homes.bg/2025-07-31_2/115130647', 'https://homes.bg/2025-07-31_2/115130648', 'https://homes.bg/2025-07-31_2/115130649', 'https://homes.bg/2025-07-31_2/115130650']",176600.0,EUR,"2,943 EUR/m²",,,False, продажба,PropertyType.DVUSTAEN,2025-12-01 18:03:55.413320,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=403,92,София,4.0,['Дианабад'],апартамент
1632141,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-77m2-sofiya-zhk.-dianabad/as1632141,днес,"жк. Дианабад, София","Тристаен, 77m²","Тухла, ТЕЦ",1,"['https://homes.bg/2025-07-31_2/115130655', 'https://homes.bg/2025-07-31_2/115130656', 'https://homes.bg/2025-07-31_2/115130658', 'https://homes.bg/2025-07-31_2/115130659']",237030.0,EUR,"3,078 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-12-01 18:03:55.413337,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=403,92,София,4.0,['Дианабад'],апартамент
1632142,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-127m2-sofiya-zhk.-dianabad/as1632142,днес,"жк. Дианабад, София","Тристаен, 127m²","Тухла, ТЕЦ",1,"['https://homes.bg/2025-07-31_2/115130660', 'https://homes.bg/2025-07-31_2/115130661', 'https://homes.bg/2025-07-31_2/115130662', 'https://homes.bg/2025-07-31_2/115130663']",386920.0,EUR,"3,046 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-12-01 18:03:55.413354,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=403,92,София,4.0,['Дианабад'],апартамент
1632144,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-137m2-sofiya-zhk.-dianabad/as1632144,днес,"жк. Дианабад, София","Четиристаен, 137m²","Тухла, ТЕЦ",1,"['https://homes.bg/2025-07-31_2/115130668', 'https://homes.bg/2025-07-31_2/115130669', 'https://homes.bg/2025-07-31_2/115130670', 'https://homes.bg/2025-07-31_2/115130671']",450565.0,EUR,"3,288 EUR/m²",,,False, продажба,PropertyType.CHETIRISTAEN,2025-12-01 18:03:55.413372,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=403,92,София,4.0,['Дианабад'],апартамент
