title,details_url,location,price_text,property_type_text,area_text,construction_type,year_text,floor_text,description,agency_name,search_url,scraped_at
Прекрасен многостаен апартамент в София,/prekrasen-mnogostaen-apartament-v-sofiya-10850889,"Редута, София",640 000 €(1 251 731.20 лв.),Многостаен апартамент в Редута,220 кв.м,Тухла,2008 г.,6 етаж,"Собственик продава просторен многостаен апартамент 220,27 кв.м с панорамна гледка към. София, ул. „Околчица“ 4, ЖК „Редута Ин“

Продавам изключително просторен и светъл многостаен апартамент, разположен на 6-ти етаж (не последен), на едно ниво, в сграда с Акт 16 от 2008 г. и асансьор. 

Имот, създаден за комфортен живот на голямо семейство, с отлична функционалност и редки за София квадратури. 

Важно предимство: апартаментът е без никакви скосявания - всички помещения са с реално използваеми площи. Терасите са компактни и практични, без излишни „губещи“ квадратури. 
Жилището е обзаведе..",Форт Нокс,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.150927
"Южен двустаен апартамент с отделна кухня, в спокоен и зелен район",/yujen-dvustaen-apartament-s-otdelna-kuhnya-v-spokoen-i-zelen-raion-10383253,"Сухата река, София",175 000 €(342 270.25 лв.),Двустаен апартамент в Сухата река,74 кв.м,Панел,,4 етаж,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: STO-132154 

Представяме просторен, южен двустаен имот за продажба в спокоен и зелен район, на 10 мин пеша от парк ”Герена”. 

Имотът е разположен на 4-ти етаж от 6. Сградата е построена от Строителни войски за собствени нужди. Има асансьор, а входът се заключва. 

Жилището е с обща площ 74 кв.м, разпределени в: 
• антре, коридор; 
• просторен светъл хол; 
• голям остъклен балкон, който може да се ползва като обща част с хола; 
• кухня; 
• ..",SUPRIMMO,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.156720
Продавам прекрасен 4-стаен апартамент в нова сграда в кв. Бели брези,/prodavam-prekrasen-4-staen-apartament-v-nova-sgrada-v-kv-beli-brezi-10842342,"Белите Брези, София",Цена:249 900 €(488 761.92 лв.),Многостаен апартамент в Белите Брези,78 кв.м,Тухла,2010 г.,5 етаж,"Продавам прекрасен 4-стаен апартамент в нова сграда в кв. Бели брези, на ул. Хайдушка гора 35, разположен на пети жилищен етаж. Жилището включва антре с коридор, дневна с кухненски бокс, три спални, д..",Диана Трайкова,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.161077
"Нов ексклузивен жилищен проект в София - Corner Park, кв. Сухата река",/nov-ekskluziven-jilishten-proekt-v-sofiya-corner-park-kv-suhata-reka-10707720,"Сухата река, София",Цена:98 538 €(192 723.58 лв.),Двустаен апартамент в Сухата река,44.79 кв.м,Тухла,2028 г.,,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в alo.bg. 

Референтен номер: Sfa 87778
Отговорен брокер: Иван Каменов

Представяме в..",BULGARIAN PROPERTIES,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.167818
Продава апартамент на бул. Прага,/prodava-apartament-na-bul-praga-10826211,"Медицинска академия, София",Цена:301 000 €(588 704.83 лв.),Тристаен апартамент в Медицинска академия,70 кв.м,Тухла,1950 г.,4 етаж,"ЕКСКЛУЗИВНО ПРЕДЛОЖЕНИЕ - Тристаен апартамент на бул. Прага, Център
Цена: 301 000 EUR
Площ: 70 кв.м | Етаж 4 | Монолитна тухлена сграда 
Представяме Ви изключително функционален тристаен апартамент..",Агенция за недвижими имоти ДОМИНУМ,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.175407
"До метростанция, Ул. ”Нишава”, Обзаведен непреходен 2-стаен след ремонт.",/do-metrostanciya-ul-nishava-obzaveden-neprehoden-2-staen-sled-remont-10855629,"Белите Брези, София",Цена:238 000 €(465 487.54 лв.),Двустаен апартамент в Белите Брези,71 кв.м,ЕПК/ПК,1985 г.,7 етаж,"Продавам голям, непреходен, обзаведен двустаен апартамент в гр. София, кв. ’Белите брези’, ул. ’Нишава’. Комуникативно и същевременно тихо място. Близо до метростанция, до спирки на градски транспорт,..",Bulgaria Realty,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.181369
Двустаен апартамент с отделна кухня,/dvustaen-apartament-s-otdelna-kuhnya-10844493,"Дървеница, София",Цена:191 000 €(373 563.53 лв.),Двустаен апартамент в Дървеница,71 кв.м,ЕПК/ПК,1986 г.,,Агенция за недвижими имоти ви представя за продажба двустаен непреходен апартамент с отделна кухня с 2 остъклени балкона в ж.к. Мусагеница. Жилището се намира в изцяло саниран блок по европейска прогр..,Madjestic Real Estate,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.186224
Тристаен апартамент до хотел Плиска в ж.к. Изток,/tristaen-apartament-do-hotel-pliska-v-j-k-iztok-10738129,"Изток, София",Цена:399 990 €(782 312.44 лв.),Тристаен апартамент в Изток,96 кв.м,Тухла,1975 г.,5 етаж,"Галерия Имоти ви предлага за продажба 3-стаен апартамент с отделна кухня до хотел Плиска в ж.к. Изток на Цариградско шосе. 

Апартаментът се намира в много добре поддържана тухлена сграда с асансьор..",Galeria Homes - Real Estate,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.190747
Тристаен апартамент 91 кв.м ЕПК/ПК 1985 г. 14 етаж Непоследен,/tristaen-apartament-91-kv-m-epk-pk-1985-g-14-etaj-neposleden-10742934,"Сухата река, София",Цена:205 000 €(400 945.15 лв.),Тристаен апартамент в Сухата река,91 кв.м,ЕПК/ПК,1985 г.,14 етаж,"Номер в агенцията - 54665. Агенция Абела предлага за продажба изключително просторен и светъл тристаен апартамент. Локацията е една от най-предпочитаните в района, непосредствено до метростанция Хаджи..",Abella LLC,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.196496
"2-стаен, София, Борово, 106 кв.м., 270000 €",/2-staen-sofiya-borovo-106-kv-m-270000-10867421,"Борово, София",Цена:270 000 €(528 074.10 лв.),Двустаен апартамент в Борово,106 кв.м,Тухла,,2 етаж,"Просторен двустаен апартамент функционално преустроен на тристаен. 

Застроена площ - 106,14 кв.м. и мазе 6кв.м. Състои се от антре, дневна /светла площ 23кв.м./ с преход към кабинет /зимна градина ..",Адрес недвижими имоти,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.201306
"Продажба четиристаен - София, Докторски паметник",/prodajba-chetiristaen-sofiya-doktorski-pametnik-10772233,"Оборище, София",Цена:587 000 €(1 148 072.20 лв.),Многостаен апартамент в Оборище,120 кв.м,Тухла,1945 г.,3 етаж,"Разкошен огромен апартамнт за ценители на големи светли жилища! Квадратурата, описана в нотариалния акт, очевидно е занижена и ще се убедите в това на огледите. 

Разпределение - Огромен двоен хол (..",Силвия,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.205693
"Двустаен апартамент с отделна кухня в кв. Борово на тиха улица близо до Лидъл, Хепи и Бесо",/dvustaen-apartament-s-otdelna-kuhnya-v-kv-borovo-na-tiha-ulica-blizo-do-lidal-hepi-i-beso-10859140,"Борово, София",Цена:165 000 €(322 711.95 лв.),Двустаен апартамент в Борово,65 кв.м,Панел,1975 г.,1 етаж,"ГАЛЕРИЯ ИМОТИ предлага за продажба 2-стаен Саниран апартамент с отделна кухня в кв. Борово на тиха улица близо до ресторанти Бесо и Хепи: 

*Жилището е за ремонт, което позволява преустройство в 3-с..",Galeria Homes - Real Estate,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.212070
Партерен имот със статут на офис в кв. Гоце Делчев-София,/parteren-imot-sas-statut-na-ofis-v-kv-goce-delchev-sofiya-10817912,"Гоце Делчев, София",Цена:220 000 €(430 282.60 лв.),Двустаен апартамент в Гоце Делчев,65 кв.м,Тухла,2009 г.,1 етаж,"Прайм имоти предлага за продажба имот със статут на офис, находящ се жк Гоце Делчев недалеч от поликлиниката и между две училища. Имотът е разположен на партерен етаж в сграда със смесено предназначен..",Maria Gavrailova Prime Property,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.217535
"Неповтирим двустаен апартамент на ул. Черковна, София",/nepovtirim-dvustaen-apartament-na-ul-cherkovna-sofiya-10865702,"Сухата река, София",Цена:244 997 €(479 172.48 лв.),Двустаен апартамент в Сухата река,88 кв.м,Тухла,2026 г.,5 етаж,"Пред акт 16! 
Метро! 
Слънце и зеленина! 

Това не е просто жилище, а дом, подсигуряващ красив уют, окъпан в целодневна слънчева светлина, красива гкедка към синята Витоша и светлинките на центъра..",Елеганс Естейт ЕООД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.223561
"3-стаен, София, Яворов, 76 кв.м., 300000 €",/3-staen-sofiya-yavorov-76-kv-m-300000-10862637,"Яворов, София",Цена:300 000 €(586 749 лв.),Тристаен апартамент в Яворов,76 кв.м,Тухла,,1 етаж,"Чудесен 3 стаен апартамент с много голям потенциал, изключително рядко излиза имот на тази локация!!! 

Намира се в кв. Яворов на ул. Цар Иван Асен II 

тухлена сграда от 1960г

Емблематична лок..",Имотека АД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.228752
"Многостаен, София, Стрелбище, 200 кв.м., 650000 €",/mnogostaen-sofiya-strelbishte-200-kv-m-650000-10865529,"Стрелбище, София",Цена:650 000 €(1 271 289.50 лв.),Многостаен апартамент в Стрелбище,200 кв.м,Тухла,,4 етаж,"Елитен имот с прекрасна енергия, който гарантира на собствениците впечатляващ лайфстайл. Тиха и зелена уличка на минута от Южен парк. 
Имотът се намира в красива сграда, отлично поддържана, само с ня..",Адрес недвижими имоти,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.235592
"3-ст., бул. България",/3-st-bul-balgariya-10865230,"Борово, София",Цена:292 000 €(571 102.36 лв.),Тристаен апартамент в Борово,117 кв.м,Тухла,2008 г.,8 етаж,"Локация: ъгъла на бул. България и ул. Пирински проход. Апартаментът е със застроена площ от 106 кв.м. по нот. акт + 11 кв.м. общи части, разпределени в обширно входно антре, две спални, килер, голяма ..",вчера,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.240946
"Тристаен Апартамент в Белите брези, София - Обзаведен",/tristaen-apartament-v-belite-brezi-sofiya-obzaveden-10864948,"Белите Брези, София",Цена:280 000 €(547 632.40 лв.),Тристаен апартамент в Белите Брези,80 кв.м,Тухла,2008 г.,,"Реф. № 012814

Агенция за недвижими имоти BAS Properties предлага за продажба тристаен апартамент в жк. Белите брези, гр. София, разположен в тухлена сграда с отлична локация и бърз достъп до метро ..",BASProperties,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.246127
"Продава 2-СТАЕН град София, Редута",/prodava-2-staen-grad-sofiya-reduta-10864805,"Редута, София",Цена:225 000 €(440 061.75 лв.),Двустаен апартамент в Редута,65 кв.м,Тухла,1999 г.,3 етаж,"Продава се двустаен апартамент в квартал Редута, с площ 65 кв.м., разположен в тухлена сграда с отлична локация! Имотът е напълно ремонтиран и обзаведен, готов за нанасяне! 

Апартаментът е саниран ..",Имоти Василев,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.251217
"Тристаен апартамент, Дървеница",/tristaen-apartament-darvenica-10864493,"Дървеница, София",Цена:210 000 €(410 724.30 лв.),Тристаен апартамент в Дървеница,80 кв.м,ЕПК/ПК,1990 г.,13 етаж,"АРТЕМИС ЕСТЕЙТ ви представя тристаен апартамент в ж.к. Дървеница. 

Жилището разполага с площ от 80 кв.м./ входно антре, всекидневна с кухненски бокс, две спални помещения и баня с тоалетна. Намира ..",АРТЕМИС ЕСТЕЙТ,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.257026
Продава 2-СТАЕН до Стадион Герена,/prodava-2-staen-do-stadion-gerena-10609917,"Сухата река, София",Цена:179 000 €(350 093.57 лв.),Двустаен апартамент в Сухата река,74 кв.м,ЕПК/ПК,1973 г.,2 етаж,"ПРОСТОРЕН, НЕПРЕХОДЕН, ВЪТРЕШЕН, ТОПЪЛ апартамент в ЕПК блок от 70-те г. с отличен вход, на етаж 2 от 14, асансьор; в близост до Стадион Герена, бъдеща метростанция, детска градина, детска площадка; Р..",”АЛДЕС ИМОТИ” ЕООД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.263666
Продава 3-СТАЕН до Мартинели на бул. България,/prodava-3-staen-do-martineli-na-bul-balgariya-10845561,"Борово, София",Цена:275 000 €(537 853.25 лв.),Тристаен апартамент в Борово,132 кв.м,Тухла,2004 г.,2 етаж,"ИНТЕРЕСЕН, ПЕРСПЕКТИВЕН, ТИХ, ВЪТРЕШЕН ап. в тухлена кооперация от 2004г.; в близост до бул. България, МАРТИНЕЛИ, БИЛЛА, МОЛ; отличен вход с портиер; етаж 1НМ от 9; асансьор; РАЗПРЕДЕЛЕНИЕ: 109,75 кв...",”АЛДЕС ИМОТИ” ЕООД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.268704
Тристаен обзаведен апартамент в кв. Изгрев до МЕТРОСТАНЦИЯ,/tristaen-obzaveden-apartament-v-kv-izgrev-do-metrostanciya-10864298,"Изгрев, София",Цена:248 000 €(485 045.84 лв.),Тристаен апартамент в Изгрев,65 кв.м,Тухла,1969 г.,2 етаж,"Продаваме тристаен апартамент в кв. Изгрев разположен на 2-ри етаж от 4 в сграда с добре поддържани и чисти общи части. 
Жилището е с южно изложение, което го прави изключително топло, светло и иконом..",АЯКС ИМОТИ,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.274683
Двустаен апартамент в кв. Изток № 97636,/dvustaen-apartament-v-kv-iztok-97636-10864263,"Изток, София",Цена:135 000 €(264 037.05 лв.),Двустаен апартамент в Изток,28 кв.м,Тухла,1970 г.,1 етаж,"Компания ’ЕКС’ представя на Вашето внимание двустаен апартамент в жк. Изток. 

МЕСТОПОЛОЖЕНИЕ: На метри от метростанция, спирка на градски транспорт, магазини от всякакъв тип и всичко най- необходим..",X NVD,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.280952
Модерно Обзаведен Двустаен Апартамент,/moderno-obzaveden-dvustaen-apartament-10847558,"Дианабад, София",Цена:220 000 €(430 282.60 лв.),Двустаен апартамент в Дианабад,64 кв.м,Тухла,2011 г.,6 етаж,"Светъл, стилен и напълно обзаведен двустаен апартамент, разположен на 6-ти жилищен етаж в поддържана сграда с отлични общи части. Имотът е модерно оборудван и готов за незабавно нанасяне - без нужда о..",Дом Имоти Бургас,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.286783
"продавам двустаен, обзаведен в кв. Редута, до парк Гео милев",/prodavam-dvustaen-obzaveden-v-kv-reduta-do-park-geo-milev-10617687,"Редута, София",Цена:140 000 €(273 816.20 лв.),Двустаен апартамент в Редута,52 кв.м,Тухла,2006 г.,4 етаж,"- намира се на улица Георги минчев
- тухла 2008г. с АКТ16, етаж 4/4 без Асансьор 
- в продажната цена е включена и комисионната 
- обявата, снимките и описанието са реални/актуални 
- по статут се..",вчера,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.291319
"Тристаен Апартамент в Медицинска академия, София",/tristaen-apartament-v-medicinska-akademiya-sofiya-10858716,"Медицинска академия, София",Цена:320 000 €(625 865.60 лв.),Тристаен апартамент в Медицинска академия,97 кв.м,Тухла,1969 г.,,"Реф. 012804

3D Виртуална разходка из апартамента - https://my.matterport.com/show/?m=2M8jvxYHY2e
*Имате възможност да разгледате имота и без обзавеждането. 

Агенция за недвижими имоти BAS Prope..",BASProperties,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.298133
Тристаен апартамент в луксозна сграда до бул. ”Г. М. Димитров”,/tristaen-apartament-v-luksozna-sgrada-do-bul-g-m-dimitrov-10863696,"Дианабад, София",,Вид на имота: Тристаен апартамент в Дианабад,214.39 кв.м,Тухла,,8 етаж,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-129697 

Представяме панорамен тристаен апартамен..",СТОУНХАРД ПРЕМИЪР,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.302625
"Публична продан от ЧСИ на Тристаен апартамент в гр. София ж.к. Люлин, бл.883, вх.3, ет.9",/publichna-prodan-ot-chsi-na-tristaen-apartament-v-gr-sofiya-j-k-lyulin-bl-883-vh-3-et-9-10863536,"Изток, София",,Вид на имота: Тристаен апартамент в Изток,79.53 кв.м,Панел,,9 етаж,"Публична продан от частен съдебен изпълнител 

СРОК: от 26.01.2026 до 26.02.2026

Адрес: ж.к. Люлин, бл.883, вх.3, ет.9

¼ /ЕДНА ЧЕТВЪРТ ИДЕАЛНА ЧАСТ/ ОТ САМОСТОЯТЕЛЕН ОБЕКТ В СГРАДА С ИДЕНТИФИКАТОР 6..",вчера,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.306236
"Многостаен, София, Бели брези, 175 кв.м., 410000 €",/mnogostaen-sofiya-beli-brezi-175-kv-m-410000-10707588,"Белите Брези, София",Цена:410 000 €(801 890.30 лв.),Многостаен апартамент в Белите Брези,175 кв.м,Тухла,,2 етаж,"БЕЗ КОМИСИОН ЗА КУПУВАЧА! 

Просторен и функционален четиристаен апартамент в Белите брези с обща площ 175 кв.м. и застроена площ 157 кв.м. 
Разпределение: просторна дневна с кухненски бокс и трапе..",Имотека АД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:14.311737
Продава двустаен кв. Гоце Делчев - София,/prodava-dvustaen-kv-goce-delchev-sofiya-10696007,"Гоце Делчев, София",Цена:206 000 €(402 900.98 лв.),Двустаен апартамент в Гоце Делчев,54 кв.м,Тухла,2000 г.,4 етаж,"ЕКСКЛУЗИВНО ОТ ИМОТИ МЕЧЕВА! 
Представяме ви нашето атрактивно предложение на двустаен апартамент с площ от 54кв.м (реални) в кв. Гоце Делчев на улица Деян Белишки. 
Имота се състои от всекидневна с..",Мечева Имоти,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.165771
"Продава 4-СТАЕН град София, Оборище",/prodava-4-staen-grad-sofiya-oborishte-10211606,"Оборище, София",Цена:399 000 €(780 376.17 лв.),Многостаен апартамент в Оборище,109 кв.м,Тухла,1960 г.,2 етаж,Продаваме отличен голям и просторен апартамент с три спални в квартал Оборище на улица Златево. Локацията е в непосредствена близост до парк Заимов (Оборище) и Метростанция Театрална. В близост има и ..,Teodor Russanov,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.170066
Двустаен апартамент в ж.к. Сухата река,/dvustaen-apartament-v-j-k-suhata-reka-10839585,"Сухата река, София",Цена:305 000 €(596 528.15 лв.),Двустаен апартамент в Сухата река,66 кв.м,Тухла,2025 г.,1 етаж,"Референтен номер: 2102853

Революшън Естейт представя двустаен апартамент в ж.к. Сухата река. 

- Етаж: 1-ви от 8-ми. 
- Площ: 66 кв.м. 
- Разпределение: входно антре, хол с кухненски бокс, спал..",Революшън Естейт България ООД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.175606
"Продава 3-СТАЕН град София, Хиподрума",/prodava-3-staen-grad-sofiya-hipodruma-10861690,"Хиподрума, София",Цена:320 000 €(625 865.60 лв.),Тристаен апартамент в Хиподрума,97 кв.м,Тухла,1960 г.,4 етаж,"Представяме Ви тристаен апартамент с отлична локация в един от най-спокойните и предпочитани квартали на София Хиподрума! Жилището се намира в сграда с добре поддържани общи части и видеонаблюдение, к..",Имоти Василев,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.180321
Тристаен апартамент 209 кв.м Тухла 1990 г. 2 етаж Непоследен,/tristaen-apartament-209-kv-m-tuhla-1990-g-2-etaj-neposleden-10861583,"Изток, София",Цена:445 000 €(870 344.35 лв.),Тристаен апартамент в Изток,209 кв.м,Тухла,1990 г.,2 етаж,"Предлагаме апартамент на две нива в престижната част на кв. Изток

Предлагаме за продажба просторен апартамент на две нива - партер и първи етаж, с обща застроена площ от 209 кв.м, разположен в една о..",ХоумТед,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.184828
