title,price,location,details_url,images,agency,floor,price_per_m2,description,reference_number,is_top_ad,url,photos,is_favorite,contact_info
"продаваДвустаен апартамент,66 м2",201 595EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5964705/?sid=iidgfw&page=1,"{'count': '9', 'url': 'https://www.imoti.net/web/files/obiavi/5964705/main_image/thumb_280x210_main_image_5964705_1.jpg?ver=1735053451'}",продава,,,публикувана от :iHOME REAL ESTATE,,False,,,,
"продаваДвустаен апартамент,74 м2",215 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5972823/?sid=iidgfw&page=1,"{'count': '18', 'url': 'https://www.imoti.net/web/files/obiavi/5972823/main_image/thumb_280x210_main_image_5972823_1.jpg?ver=1735053451'}",продава,,,публикувана от :Home Life Point Realty,,False,,,,
"продаваДвустаен апартамент,65 м2",219 450EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5776463/?sid=iidgfw&page=1,"{'count': '7', 'url': 'https://www.imoti.net/web/files/obiavi/5776463/main_image/thumb_280x210_main_image_5776463_1.jpg?ver=1735053451'}",продава,,,публикувана от :ERA Младост,,False,,,,
"продаваДвустаен апартамент,78 м2",226 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5920205/?sid=iidgfw&page=1,"{'count': '10', 'url': 'https://www.imoti.net/web/files/obiavi/5920205/main_image/thumb_280x210_main_image_5920205_1.jpg?ver=1735053451'}",продава,,,публикувана от :ХОУМЛАЙТ,,False,,,,
"продаваДвустаен апартамент,64 м2",228 690EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5814527/?sid=iidgfw&page=1,"{'count': '9', 'url': 'https://www.imoti.net/web/files/obiavi/5814527/main_image/thumb_280x210_2.jpg?ver=1735053451'}",продава,,,публикувана от :Бг Брокер,,False,,,,
"продаваДвустаен апартамент,87 м2",231 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5847975/?sid=iidgfw&page=1,"{'count': '5', 'url': 'https://www.imoti.net/web/files/obiavi/5847975/main_image/thumb_280x210_main_image_5847975_1.jpg?ver=1735053451'}",продава,,,публикувана от :ERA Младост,,False,,,,
"продаваДвустаен апартамент,63 м2",234 514EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/6011697/?sid=iidgfw&page=1,"{'count': '8', 'url': 'https://www.imoti.net/web/files/obiavi/6011697/main_image/thumb_280x210_main_image_6011697_1.jpg?ver=1735053451'}",продава,,,публикувана от :АДРЕС Недвижими имоти АД,,False,,,,
"продаваДвустаен апартамент,61 м2",241 914EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/6004584/?sid=iidgfw&page=1,"{'count': '8', 'url': 'https://www.imoti.net/web/files/obiavi/6004584/main_image/thumb_280x210_main_image_6004584_1.jpg?ver=1735053451'}",продава,,,публикувана от :АДРЕС Недвижими имоти АД,,False,,,,
"продаваДвустаен апартамент,87 м2",242 550EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5909984/?sid=iidgfw&page=1,"{'count': '1', 'url': 'https://www.imoti.net/web/files/obiavi/5909984/main_image/thumb_280x210_main_image_5909984_1.jpg?ver=1735053451'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,71 м2",248 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5979861/?sid=iidgfw&page=1,"{'count': '8', 'url': 'https://www.imoti.net/web/files/obiavi/5979861/main_image/thumb_280x210_main_image_5979861_1.jpg?ver=1735053451'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
