site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-06 06:14:26.822211,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-77779-apartamenti-za-prodajba-v-sofiya.html,,от185 874€,"гр. София,кв. ""Банишора""","Central Park - 7 сгради с 12 дка парк. Сгради А, Б и В получиха АКТ 16!","Продажба, Модерни сгради, простор, зеленина и гледки, които ви оставят без дъх! Една бъдеща емблема на столицата, която ще внесе нов стандарт за качество на живот.

Central Park - твоят Ню Йорк в София!

Сгради А, Б и В получиха Акт 16!
 
Независимо дали става въпрос за структурни",187.57 кв.м,,,инж. Иван Крумов,2,77779,253,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-06 06:14:26.822211,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-82112-apartamenti-za-prodajba-blizo-do-sofiya.html,,от69 900€,"Близо до гр. София,BILLA","AMur Gardens - висок клас комплекс със зеленина, детска площадка и магазини в Костинброд","Продажба, Домът, който наистина заслужавате!  

AМur Gardens е повече от място за живеене – това е начин на живот, който съчетава комфорт, качество и удобства. Това е вашият дом – в малък град близо до динамиката на столицата. Инвестирайте в бъдещето си още днес!  

Уникален комплекс с",174.88 кв.м,,,Магдалена Тошева,2,82112,253,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-06 06:14:26.822211,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-82111-apartamenti-za-prodajba-v-sofiya.html,,от243 882€,"гр. София,кв. ""Манастирски ливади""",SKY TOWERS by AMur — новият архитектурен символ на София,"Продажба, Sky Towers by AMur е проект от най-висок клас, създаден да се превърне в новата визитна картичка на модерна София. Извисяващи се над града, две емблематични сгради комбинират изцяло остъклени фасади, елегантни линии и впечатляваща вертикална динамика, които създават усещането за",202.24 кв.м,,,Магдалена Тошева,2,82111,253,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-06 06:14:26.822211,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-87185-apartamenti-za-prodajba-v-sofiya.html,,от130 000€,"гр. София,кв. ""Манастирски ливади""",SYNERA Residence - най-новият комплекс в кв. Манастирски ливади - Изток,"Продажба, Synera Residence – дом, където динамичният градски начин на живот среща красотата и спокойствието на Витоша. Разположен в кв. Манастирски ливади – Изток, този проект ви дава възможността да живеете само на минути от центъра на София, без да се отказвате от свежия въздух и",208.03 кв.м,,,инж. Даниела Тотева,2,87185,253,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-06 06:14:26.822211,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-87778-apartamenti-za-prodajba-v-sofiya.html,,от98 538€,"гр. София,кв. ""Сухата река""","Нов ексклузивен жилищен проект в София – Corner Park, кв. Сухата река","Продажба, Представяме ви Corner Park – нов ексклузивен жилищен комплекс в кв. Сухата река, разположен в един от най-перспективните райони на София, над гара Подуяне и на пешеходно разстояние от бул. „Мадрид“ и бул. „Ситняково“.

Проектът съчетава модерен градски дизайн, висок стандарт на",249.28 кв.м,,,Иван Каменов,2,87778,253,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-06 06:14:26.822211,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-87833-apartamenti-za-prodajba-v-sofiya.html,,от134 500€,"гр. София,кв. ""Малинова долина""",Стилен нов проект в Малинова долина – модерно жилище в приятна жилищна зона,"Продажба, Твоят нов дом в една от най-перспективните жилищни зони на София – Малинова долина. Просторен, функционален, изцяло ориентиран към нуждите и очакванията за комфорт и сигурност на модерния човек в столицата.

С удоволствие ви представяме най-новото бижу в динамично развиващия се",143.95 кв.м,,,Магдалена Цоклинова,2,87833,253,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-06 06:14:26.822211,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-80045-apartamenti-za-prodajba-v-sofiya.html,,от234 253€,"гр. София,кв. ""Манастирски ливади""",Нова сграда със само 16 апартамента в кв. Манастирски ливади – изток,"Продажба, Светли и просторни апартаменти в нов, жилищен проект, намиращ се в престижния квартал „Манастирски ливади-изток“. Сградата ще се отличава с елегантна архитектура, модерна фасада, качествено изпълнение, бърз достъп до центъра на града. Комуникативен район с добра инфраструктура, с",186.86 кв.м,,,Иванка Стойкова,2,80045,253,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-06 06:14:26.822211,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-80315-apartamenti-za-prodajba-v-sofiya.html,,от210 000€,"гр. София,кв. ""Княжево""",Луксозен комплекс от две сгради Green View Apartments в кв. Княжево - с АКТ 16,"Продажба, Търсите жилище от висок клас с удобна локация в столицата, даваща възможност за бърз достъп до централните части на града, но и да се насладите на спокойствието и зеленината на планината? Имаме удоволствието да ви предложим за продажба апартаменти ново строителство в комплекс от",268.82 кв.м,,,Иванка Стойкова,2,80315,253,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-06 06:14:26.822211,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-77806-apartamenti-za-prodajba-v-sofiya.html,,от136 000€,"гр. София,кв. ""Кръстова вада""",Reina Sofia Residence - висок клас сграда енергиен клас А близо до Зоопарк София и Ловен парк,"Продажба, Топ локация с изглед към Витоша и бърз достъп до удобен транспорт, спортни центрове, търговски център, болници, паркове, училища и др. Сградата е решена 11 етажа с уникални апартаменти в 3 типа - двустаен, тристаен и четиристаен. За покупка се предлагат последните два магазина на",139.88 кв.м,,,Магдалена Тошева,2,77806,253,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-06 06:14:26.822211,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-85403-apartamenti-za-prodajba-v-sofiya.html,,от310 000€,"гр. София,кв. ""Малинова долина""",Нов жилищен проект в кв. Малинова долина  с Акт 15,"Продажба, Не пропускайте възможността да изберете имот с изключително качество в Малинова долина - сграда Lux Building 9, в процес на изграждане!

Последни апартаменти, гаражи и паркоместа!
 
Представяме на вашето внимание проект със стилен дизайн в кв. Малинова долина, проектирани в",191.62 кв.м,,,Магдалена Цоклинова,2,85403,253,
