raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
"Двустаен, 67m²","Тухла, Обзаведен, ТЕЦ",369000.0,EUR,False,наем,двустаен,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-67m2-sofiya-zhk.-ivan-vazov/as1665091,9,2026-01-23 22:36:26.426004,,homesbg,0,1665091,,,,
"Тристаен, 110m²","Тухла, Обзаведен, ТЕЦ",605000.0,EUR,False,наем,тристаен,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-110m2-sofiya-zhk.-ivan-vazov/as1665233,10,2026-01-23 22:36:26.426015,,homesbg,0,1665233,,,,
"Тристаен, 100m²","Тухла, Необзаведен, ТЕЦ",350000.0,EUR,False,наем,тристаен,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-100m2-sofiya-zhk.-ivan-vazov/as1531528,9,2026-01-23 22:36:26.426018,,homesbg,0,1531528,,,,
"Тристаен, 110m²","Тухла, Обзаведен, ТЕЦ",605000.0,EUR,False,наем,тристаен,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-110m2-sofiya-zhk.-ivan-vazov/as1665238,10,2026-01-23 22:36:26.426021,,homesbg,0,1665238,,,,
"Тристаен, 84m²","Тухла, Обзаведен",320000.0,EUR,False,наем,тристаен,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-84m2-sofiya-zhk.-ivan-vazov/as1644892,10,2026-01-23 22:36:26.426024,,homesbg,0,1644892,,,,
"Тристаен, 92m²","Панел, Полуобзаведен",400000.0,EUR,False,наем,тристаен,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-92m2-sofiya-zhk.-ivan-vazov/as1658661,5,2026-01-23 22:36:26.426029,,homesbg,0,1658661,,,,
"Четиристаен, 200m²","Тухла, Необзаведен, Електричество",480000.0,EUR,False,наем,четиристаен,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-200m2-sofiya-zhk.-ivan-vazov/as1578309,7,2026-01-23 22:36:26.426035,,homesbg,0,1578309,,,,
"Четиристаен, 223m²","Тухла, Обзаведен, ТЕЦ",695000.0,EUR,False,наем,четиристаен,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-223m2-sofiya-zhk.-ivan-vazov/as1658605,10,2026-01-23 22:36:26.426040,,homesbg,0,1658605,,,,
"Тристаен, 85m²","ЕПК, ТЕЦ",455000.0,EUR,False,наем,тристаен,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-85m2-sofiya-zhk.-ivan-vazov/as1664383,10,2026-01-23 22:36:26.426046,,homesbg,0,1664383,,,,
"Двустаен, 69m²","Тухла, ТЕЦ",289800.0,EUR,False,наем,двустаен,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-69m2-sofiya-zhk.-ivan-vazov/as1661095,5,2026-01-23 22:36:26.426051,,homesbg,0,1661095,,,,
"Двустаен, 48m²","Тухла, Полуобзаведен, ТЕЦ",335000.0,EUR,False,наем,двустаен,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-48m2-sofiya-zhk.-ivan-vazov/as1663620,10,2026-01-23 22:36:26.426056,,homesbg,0,1663620,,,,
"Четиристаен, 223m²","Тухла, Обзаведен, ТЕЦ",790000.0,EUR,False,наем,четиристаен,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-223m2-sofiya-zhk.-ivan-vazov/as1634240,10,2026-01-23 22:36:26.426062,,homesbg,0,1634240,,,,
"Двустаен, 67m²","Тухла, Обзаведен, ТЕЦ",369000.0,EUR,False,наем,двустаен,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-67m2-sofiya-zhk.-ivan-vazov/as1659241,10,2026-01-23 22:36:26.426066,,homesbg,0,1659241,,,,
"Тристаен, 110m²","Тухла, Обзаведен, ТЕЦ",605000.0,EUR,False,наем,тристаен,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-110m2-sofiya-zhk.-ivan-vazov/as1659244,10,2026-01-23 22:36:26.426071,,homesbg,0,1659244,,,,
"Гараж, 22m²",ТЕЦ,109000.0,EUR,False,наем,,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/garazh-22m2-sofiya-zhk.-ivan-vazov/as1652350,2,2026-01-23 22:36:26.426076,,homesbg,0,1652350,,,,
"Тристаен, 97m²",Тухла,415000.0,EUR,False,наем,тристаен,София,жк. Иван Вазов,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-97m2-sofiya-zhk.-ivan-vazov/as1569755,10,2026-01-23 22:36:26.426080,,homesbg,0,1569755,,,,
